account,BRD,VMTL,RMTL,NEW,REF,REP,REU,TST,EOL,INC,LAB,CAP,HOH,GOV,IDT
BRD,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0
VMTL,0,0,0,30,6,4,0,0,0,0,0,0,0,0,0
RMTL,0,0,0,10,4,1,0,0,0,0,0,0,0,0,0
NEW,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
REF,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0
REP,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0
REU,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0
TST,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0
EOL,0,0,10,0,10,10,20,0,0,0,0,0,0,0,0
INC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LAB,123,10,3,30,15,12,7,0,0,0,0,0,0,0,0
CAP,77,30,2,30,5,3,3,0,0,0,0,0,0,0,0
HOH,0,0,0,0,0,0,0,0,50,0,200,150,0,0,0
GOV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IDT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
