account,BRD_M,VMTL_M,LAB_M,CAP_M,HOH_M,BRD_C,RMTL_C,NEW_C,REF_C,REP_C,REU_C,TST_C,EOL_C,LAB_C,CAP_C,HOH_C,NFA
BRD_M,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0
VMTL_M,0,0,0,0,0,0,0,30,6,4,0,0,0,0,0,0,0
LAB_M,15,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAP_M,10,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOH_M,0,0,25,40,0,0,0,0,0,0,0,0,0,0,0,0,0
BRD_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175,0
RMTL_C,0,0,0,0,0,0,0,10,4,1,0,0,0,0,0,0,0
NEW_C,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0
REF_C,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0
REP_C,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0
REU_C,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0
TST_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0
EOL_C,0,0,0,0,0,0,10,0,10,10,20,0,0,0,0,0,0
LAB_C,0,0,0,0,0,108,3,30,15,12,7,0,0,0,0,0,0
CAP_C,0,0,0,0,0,67,2,30,5,3,3,0,0,0,0,0,0
HOH_C,0,0,0,0,0,0,0,0,0,0,0,0,50,175,110,0,40
NFA,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0
