model,strategy,status,count,max_abs_market_residual
single_country,virgin_material_tax,ITERATION_LIMIT,9,10.971299681064067
single_country,virgin_material_tax,LOCALLY_INFEASIBLE,45,2.3788402359059546e-9
single_country,virgin_material_tax,LOCALLY_SOLVED,8691,1.5154455468291417e-9
single_country,virgin_material_tax,OTHER_ERROR,3,4.410642289694579
single_country,refurbishment_support,ALMOST_LOCALLY_SOLVED,9,5.883862286282238e-10
single_country,refurbishment_support,ITERATION_LIMIT,17,2.3839211300110605
single_country,refurbishment_support,LOCALLY_INFEASIBLE,68,2.3788402359059546e-9
single_country,refurbishment_support,LOCALLY_SOLVED,8654,1.8630203157954384e-8
single_country,recycling_support,ALMOST_LOCALLY_SOLVED,6,1.0117878446180839e-7
single_country,recycling_support,ITERATION_LIMIT,14,6.6948111114153335
single_country,recycling_support,LOCALLY_INFEASIBLE,44,3.612854015955236e-9
single_country,recycling_support,LOCALLY_SOLVED,8684,6.1544938034785446e-9
two_country,virgin_material_tax,LOCALLY_INFEASIBLE,39,6.821210263296962e-13
two_country,virgin_material_tax,LOCALLY_SOLVED,8709,3.4376057556073647e-9
two_country,refurbishment_support,ALMOST_LOCALLY_SOLVED,4,4.703792910731863e-10
two_country,refurbishment_support,ITERATION_LIMIT,2,0.1587592727333913
two_country,refurbishment_support,LOCALLY_INFEASIBLE,20,3.2173375075217336e-11
two_country,refurbishment_support,LOCALLY_SOLVED,8722,1.8867865492211422e-8
two_country,recycling_support,ALMOST_LOCALLY_SOLVED,2,2.710505431213761e-20
two_country,recycling_support,ITERATION_LIMIT,3,1.1949211096671206
two_country,recycling_support,LOCALLY_INFEASIBLE,21,1.156195139628835e-10
two_country,recycling_support,LOCALLY_SOLVED,8721,6.158984433568548e-10
two_country,recycling_support,OTHER_ERROR,1,1.7053025658242404e-13
