strategy,dimension,factor,activity,component,count,mean_delta_factor_use,mean_pct_factor_use,mean_delta_factor_allocation_share,expansion_share,contraction_share
recycling_support,factor_use,LAB,TOTAL,labor_total,118,-0.30212172939630116,-0.0015112789523040273,,0.0,1.0
recycling_support,factor_use,CAP,TOTAL,capital_total,118,-0.2918451988771096,-0.0019467570812888475,,0.0,1.0
recycling_support,factor_use,LAB,BRD,labor_bread,118,3.4549252224219993,0.027842306028297344,0.018283911820089344,1.0,0.0
recycling_support,factor_use,LAB,VMTL,labor_virgin_material,118,0.30656666850613884,0.03059018413821934,0.0016139696913697453,1.0,0.0
recycling_support,factor_use,LAB,RMTL,labor_recycled_material,118,0.18231194850210033,0.060724924999027485,0.0009377736710949294,1.0,0.0
recycling_support,factor_use,LAB,NEW,labor_new_production,118,-0.23782316429782355,-0.007924519242299113,-0.0009702084047834299,0.15254237288135594,0.847457627118644
recycling_support,factor_use,LAB,REF,labor_refurbishment,118,-1.5520861674431485,-0.11380421747182547,-0.0076845343466869186,0.0,1.0
recycling_support,factor_use,LAB,REP,labor_repair,118,-1.6169346342964925,-0.1348255154968599,-0.008023472542938545,0.0,1.0
recycling_support,factor_use,LAB,REU,labor_reuse,118,-0.8390816027890792,-0.11956030238475279,-0.004157439888145144,0.0,1.0
recycling_support,factor_use,CAP,BRD,capital_bread,118,1.0907720856370737,0.014076778731844566,0.008321696936198802,1.0,0.0
recycling_support,factor_use,CAP,VMTL,capital_virgin_material,118,-0.11823350044356669,-0.003956684022773552,-0.00040226368636865184,0.0,1.0
recycling_support,factor_use,CAP,RMTL,capital_recycled_material,118,0.18615717002463425,0.09182732614333691,0.0012728946080014312,1.0,0.0
recycling_support,factor_use,CAP,NEW,capital_new_production,118,-0.6451997592849136,-0.021593181328839164,-0.003936897956463722,0.15254237288135594,0.847457627118644
recycling_support,factor_use,CAP,REF,capital_refurbishment,118,-0.368943627809391,-0.08026920687044979,-0.002410958199628016,0.17796610169491525,0.8220338983050848
recycling_support,factor_use,CAP,REP,capital_repair,118,-0.21351554414943472,-0.06955459817048407,-0.0013910027462438242,0.0,1.0
recycling_support,factor_use,CAP,REU,capital_reuse,118,-0.2228820228515129,-0.07288394853608123,-0.0014534689554960318,0.0,1.0
refurbishment_support,factor_use,LAB,TOTAL,labor_total,841,-0.7609002423979898,-0.0038069287689937352,,0.0035671819262782403,0.9964328180737217
refurbishment_support,factor_use,CAP,TOTAL,capital_total,841,-0.7468598986647444,-0.004983204764691747,,0.0035671819262782403,0.9964328180737217
refurbishment_support,factor_use,LAB,BRD,labor_bread,841,-2.1857945798603517,-0.017673644194701982,-0.008633239472332866,0.0047562425683709865,0.995243757431629
refurbishment_support,factor_use,LAB,VMTL,labor_virgin_material,841,0.3949602003123217,0.03915421193060484,0.00218224975044942,0.8894173602853745,0.11058263971462545
refurbishment_support,factor_use,LAB,RMTL,labor_recycled_material,841,0.4821661185338627,0.15919388419311978,0.0024840562207748803,0.8929845422116528,0.1070154577883472
refurbishment_support,factor_use,LAB,NEW,labor_new_production,841,-0.7058993522681642,-0.02232847898808969,-0.002956991268378365,0.028537455410225922,0.9714625445897741
refurbishment_support,factor_use,LAB,REF,labor_refurbishment,841,1.3611533678909933,0.1130974647535704,0.007095308580055412,0.9191438763376932,0.08085612366230678
refurbishment_support,factor_use,LAB,REP,labor_repair,841,-0.22607249513148864,-0.018718629482797525,-0.00090398270113408,0.0023781212841854932,0.9976218787158145
refurbishment_support,factor_use,LAB,REU,labor_reuse,841,0.11858649812483793,0.016888505815622085,0.0007325988905656038,0.8240190249702735,0.1759809750297265
refurbishment_support,factor_use,CAP,BRD,capital_bread,841,-1.666345230138124,-0.02165625515956088,-0.008634655432347487,0.07015457788347206,0.929845422116528
refurbishment_support,factor_use,CAP,VMTL,capital_virgin_material,841,-0.554059802002165,-0.018358921774834006,-0.0027128822863207408,0.02140309155766944,0.9785969084423306
refurbishment_support,factor_use,CAP,RMTL,capital_recycled_material,841,0.5442841692935897,0.2662321532913717,0.0037258150366445276,0.9774078478002378,0.022592152199762187
refurbishment_support,factor_use,CAP,NEW,capital_new_production,841,-0.9134714202815697,-0.029648159028278238,-0.005110470798141899,0.014268727705112961,0.985731272294887
refurbishment_support,factor_use,CAP,REF,capital_refurbishment,841,0.9030788091677215,0.21197735340463947,0.0062136650348210585,0.985731272294887,0.014268727705112961
refurbishment_support,factor_use,CAP,REP,capital_repair,841,0.4901302796260249,0.15934919659809238,0.003395481297129524,0.9881093935790726,0.011890606420927468
refurbishment_support,factor_use,CAP,REU,capital_reuse,841,0.44952329566977656,0.14655394853402695,0.0031230471482150044,0.9667063020214031,0.03329369797859691
