rank,outcome,parameter,levels,mean_min,mean_min_level,mean_max,mean_max_level,effect_range,abs_effect_range
1,multiple_available,eta_service,3,0.03292181069958848,1.0,0.4609053497942387,1.5,0.4279835390946502,0.4279835390946502
2,multiple_available,sigma_eol,3,0.037037037037037035,2.0,0.3895747599451303,0.5,0.35253772290809327,0.35253772290809327
3,multiple_available,yield_ref,3,0.1111111111111111,3.0,0.24554183813443073,5.0,0.13443072702331962,0.13443072702331962
4,multiple_available,metal_intensity_ref,3,0.12757201646090535,0.35,0.22908093278463648,0.15,0.10150891632373113,0.10150891632373113
5,multiple_available,sigma_routes,3,0.1440329218106996,3.0,0.23731138545953362,1.25,0.09327846364883402,0.09327846364883402
6,multiple_available,sigma_metal,3,0.18244170096021947,2.0,0.18930041152263374,1.25,0.006858710562414272,0.006858710562414272
7,multiple_available,metal_quality,3,0.18381344307270234,0.75,0.18655692729766804,0.85,0.002743484224965703,0.002743484224965703
1,none_available,sigma_eol,3,0.009602194787379973,0.5,0.5967078189300411,4.0,0.5871056241426611,0.5871056241426611
2,none_available,eta_service,3,0.0,1.5,0.5596707818930041,1.0,0.5596707818930041,0.5596707818930041
3,none_available,yield_ref,3,0.2661179698216735,5.0,0.40054869684499317,4.0,0.13443072702331965,0.13443072702331965
4,none_available,sigma_routes,3,0.3045267489711934,3.0,0.3717421124828532,1.25,0.0672153635116598,0.0672153635116598
5,none_available,metal_intensity_ref,3,0.3196159122085048,0.35,0.36488340192043894,0.25,0.04526748971193412,0.04526748971193412
6,none_available,sigma_metal,3,0.3113854595336077,1.25,0.35390946502057613,3.0,0.04252400548696844,0.04252400548696844
7,none_available,metal_quality,3,0.3333333333333333,0.85,0.33607681755829905,0.75,0.002743484224965731,0.002743484224965731
1,recycling_available,eta_service,3,0.0,1.0,0.1646090534979424,1.5,0.1646090534979424,0.1646090534979424
2,recycling_available,sigma_routes,3,0.012345679012345678,3.0,0.15089163237311384,1.25,0.13854595336076816,0.13854595336076816
3,recycling_available,sigma_eol,3,0.03566529492455418,0.5,0.12757201646090535,4.0,0.09190672153635117,0.09190672153635117
4,recycling_available,metal_intensity_ref,3,0.02880658436213992,0.35,0.09739368998628258,0.15,0.06858710562414266,0.06858710562414266
5,recycling_available,yield_ref,3,0.037037037037037035,3.0,0.08641975308641975,4.0,0.04938271604938271,0.04938271604938271
6,recycling_available,sigma_metal,3,0.0644718792866941,2.0,0.06995884773662552,1.25,0.00548696844993142,0.00548696844993142
7,recycling_available,metal_quality,3,0.06584362139917696,0.95,0.06721536351165981,0.75,0.0013717421124828516,0.0013717421124828516
1,recycling_support_best,eta_service,3,0.0,0.5,0.16186556927297668,1.5,0.16186556927297668,0.16186556927297668
2,recycling_support_best,sigma_routes,3,0.0,3.0,0.13717421124828533,1.25,0.13717421124828533,0.13717421124828533
3,recycling_support_best,sigma_eol,3,0.0,0.5,0.1262002743484225,4.0,0.1262002743484225,0.1262002743484225
4,recycling_support_best,yield_ref,3,0.037037037037037035,3.0,0.0850480109739369,4.0,0.04801097393689986,0.04801097393689986
5,recycling_support_best,metal_intensity_ref,3,0.02880658436213992,0.35,0.07270233196159122,0.25,0.0438957475994513,0.0438957475994513
6,recycling_support_best,sigma_metal,3,0.05212620027434842,2.0,0.05761316872427984,1.25,0.005486968449931413,0.005486968449931413
7,recycling_support_best,metal_quality,3,0.05212620027434842,0.75,0.05486968449931413,0.85,0.002743484224965703,0.002743484224965703
1,refurbishment_available,sigma_eol,3,0.0013717421124828531,4.0,0.953360768175583,0.5,0.9519890260631002,0.9519890260631002
2,refurbishment_available,eta_service,3,0.299039780521262,1.5,0.48010973936899864,0.5,0.18106995884773663,0.18106995884773663
3,refurbishment_available,metal_intensity_ref,3,0.35253772290809327,0.25,0.4458161865569273,0.35,0.09327846364883402,0.09327846364883402
4,refurbishment_available,sigma_routes,3,0.3388203017832647,1.25,0.42386831275720166,3.0,0.08504801097393694,0.08504801097393694
5,refurbishment_available,yield_ref,3,0.3731138545953361,5.0,0.401920438957476,3.0,0.028806584362139898,0.028806584362139898
6,refurbishment_available,sigma_metal,3,0.3772290809327846,3.0,0.38820301783264743,1.25,0.010973936899862813,0.010973936899862813
7,refurbishment_available,metal_quality,3,0.38271604938271603,0.85,0.38820301783264743,0.75,0.005486968449931406,0.005486968449931406
1,refurbishment_support_best,sigma_eol,3,0.0013717421124828531,4.0,0.953360768175583,0.5,0.9519890260631002,0.9519890260631002
2,refurbishment_support_best,eta_service,3,0.299039780521262,1.5,0.48010973936899864,0.5,0.18106995884773663,0.18106995884773663
3,refurbishment_support_best,metal_intensity_ref,3,0.35253772290809327,0.25,0.4458161865569273,0.35,0.09327846364883402,0.09327846364883402
4,refurbishment_support_best,sigma_routes,3,0.3388203017832647,1.25,0.42386831275720166,3.0,0.08504801097393694,0.08504801097393694
5,refurbishment_support_best,yield_ref,3,0.3731138545953361,5.0,0.401920438957476,3.0,0.028806584362139898,0.028806584362139898
6,refurbishment_support_best,sigma_metal,3,0.3772290809327846,3.0,0.38820301783264743,1.25,0.010973936899862813,0.010973936899862813
7,refurbishment_support_best,metal_quality,3,0.38271604938271603,0.85,0.38820301783264743,0.75,0.005486968449931406,0.005486968449931406
1,support_efficiency_candidate,sigma_eol,3,0.12757201646090535,4.0,0.953360768175583,0.5,0.8257887517146777,0.8257887517146777
2,support_efficiency_candidate,eta_service,3,0.37448559670781895,1.0,0.48010973936899864,0.5,0.1056241426611797,0.1056241426611797
3,support_efficiency_candidate,sigma_routes,3,0.4156378600823045,2.0,0.47599451303155005,1.25,0.060356652949245526,0.060356652949245526
4,support_efficiency_candidate,metal_intensity_ref,3,0.4156378600823045,0.15,0.47462277091906724,0.35,0.058984910836762716,0.058984910836762716
5,support_efficiency_candidate,yield_ref,3,0.41289437585733885,5.0,0.46364883401920437,4.0,0.05075445816186552,0.05075445816186552
6,support_efficiency_candidate,sigma_metal,3,0.42935528120713307,3.0,0.4458161865569273,1.25,0.01646090534979422,0.01646090534979422
7,support_efficiency_candidate,metal_quality,3,0.4375857338820302,0.85,0.4403292181069959,0.75,0.0027434842249656755,0.0027434842249656755
1,support_service_loss_per_support_dollar,sigma_eol,3,0.3649408072304892,0.5,6.403204545057455,4.0,6.0382637378269655,6.0382637378269655
2,support_service_loss_per_support_dollar,eta_service,3,0.2671277938059351,1.0,2.377206634759959,1.5,2.110078840954024,2.110078840954024
3,support_service_loss_per_support_dollar,sigma_routes,3,0.3693564625614791,3.0,1.9352742688918885,1.25,1.5659178063304093,1.5659178063304093
4,support_service_loss_per_support_dollar,metal_intensity_ref,3,0.5456298966937013,0.35,1.3235238781092797,0.25,0.7778939814155784,0.7778939814155784
5,support_service_loss_per_support_dollar,yield_ref,3,0.7588038421351724,3.0,1.4591208005997904,4.0,0.7003169584646181,0.7003169584646181
6,support_service_loss_per_support_dollar,metal_quality,3,1.0097311350076106,0.95,1.046965923051963,0.75,0.03723478804435243,0.03723478804435243
7,support_service_loss_per_support_dollar,sigma_metal,3,1.012627520147186,2.0,1.0390790843631763,1.25,0.026451564215990375,0.026451564215990375
1,support_virgin_saving_per_support_dollar,eta_service,3,0.08593213127450951,1.5,0.12241221995151934,0.5,0.03648008867700983,0.03648008867700983
2,support_virgin_saving_per_support_dollar,yield_ref,3,0.08520674468146006,5.0,0.11953597521245536,3.0,0.034329230530995306,0.034329230530995306
3,support_virgin_saving_per_support_dollar,sigma_routes,3,0.08737460913857231,1.25,0.11565953338167205,3.0,0.028284924243099738,0.028284924243099738
4,support_virgin_saving_per_support_dollar,metal_intensity_ref,3,0.0944393673944859,0.35,0.10507588428868192,0.15,0.010636516894196021,0.010636516894196021
5,support_virgin_saving_per_support_dollar,metal_quality,3,0.09856522685049457,0.85,0.10543906275316056,0.75,0.006873835902665992,0.006873835902665992
6,support_virgin_saving_per_support_dollar,sigma_eol,3,0.09535777325115222,4.0,0.10188045573715866,0.5,0.006522682486006445,0.006522682486006445
7,support_virgin_saving_per_support_dollar,sigma_metal,3,0.09937376456289691,3.0,0.1031937493925622,1.25,0.0038199848296652933,0.0038199848296652933
1,tax_available,eta_service,3,0.09876543209876543,1.0,1.0,1.5,0.9012345679012346,0.9012345679012346
2,tax_available,yield_ref,3,0.3333333333333333,3.0,0.5432098765432098,5.0,0.20987654320987653,0.20987654320987653
3,tax_available,metal_intensity_ref,3,0.3333333333333333,0.35,0.4691358024691358,0.15,0.13580246913580246,0.13580246913580246
