parameter,level,total_groups,complete_groups,top_region,top_region_count,top_region_share,tax_available_share,refurbishment_available_share,recycling_available_share,all_available_share,none_available_share
sigma_routes,1.25,729,726,none_available,271,0.3717421124828532,0.38271604938271603,0.3388203017832647,0.15089163237311384,0.006858710562414266,0.3717421124828532
sigma_routes,2.0,729,687,none_available,240,0.3292181069958848,0.41975308641975306,0.39094650205761317,0.037037037037037035,0.00411522633744856,0.3292181069958848
sigma_routes,3.0,729,619,none_available,222,0.3045267489711934,0.4074074074074074,0.42386831275720166,0.012345679012345678,0.00411522633744856,0.3045267489711934
sigma_metal,1.25,729,702,none_available,227,0.3113854595336077,0.43209876543209874,0.38820301783264743,0.06995884773662552,0.012345679012345678,0.3113854595336077
sigma_metal,2.0,729,670,none_available,248,0.3401920438957476,0.39094650205761317,0.38820301783264743,0.0644718792866941,0.0013717421124828531,0.3401920438957476
sigma_metal,3.0,729,660,none_available,258,0.35390946502057613,0.3868312757201646,0.3772290809327846,0.06584362139917696,0.0013717421124828531,0.35390946502057613
sigma_eol,0.5,729,670,refurbishment_support_only,411,0.5637860082304527,0.40329218106995884,0.953360768175583,0.03566529492455418,0.012345679012345678,0.009602194787379973
sigma_eol,2.0,729,680,none_available,291,0.3991769547325103,0.40329218106995884,0.19890260631001372,0.037037037037037035,0.0013717421124828531,0.3991769547325103
sigma_eol,4.0,729,682,none_available,435,0.5967078189300411,0.40329218106995884,0.0013717421124828531,0.12757201646090535,0.0013717421124828531,0.5967078189300411
eta_service,0.5,729,729,none_available,325,0.4458161865569273,0.1111111111111111,0.48010973936899864,0.03566529492455418,0.012345679012345678,0.4458161865569273
eta_service,1.0,729,579,none_available,408,0.5596707818930041,0.09876543209876543,0.37448559670781895,0.0,0.0,0.5596707818930041
eta_service,1.5,729,724,virgin_material_tax_only,393,0.5390946502057613,1.0,0.299039780521262,0.1646090534979424,0.0027434842249657062,0.0
metal_quality,0.75,729,675,none_available,245,0.33607681755829905,0.3991769547325103,0.38820301783264743,0.06721536351165981,0.006858710562414266,0.33607681755829905
metal_quality,0.85,729,679,none_available,243,0.3333333333333333,0.4074074074074074,0.38271604938271603,0.06721536351165981,0.00411522633744856,0.3333333333333333
metal_quality,0.95,729,678,none_available,245,0.33607681755829905,0.40329218106995884,0.38271604938271603,0.06584362139917696,0.00411522633744856,0.33607681755829905
metal_intensity_ref,0.15,729,688,none_available,234,0.32098765432098764,0.4691358024691358,0.355281207133059,0.09739368998628258,0.013717421124828532,0.32098765432098764
metal_intensity_ref,0.25,729,677,none_available,266,0.36488340192043894,0.4074074074074074,0.35253772290809327,0.07407407407407407,0.0013717421124828531,0.36488340192043894
metal_intensity_ref,0.35,729,667,refurbishment_support_only,253,0.34705075445816186,0.3333333333333333,0.4458161865569273,0.02880658436213992,0.0,0.3196159122085048
yield_ref,3.0,729,679,none_available,247,0.3388203017832647,0.3333333333333333,0.401920438957476,0.037037037037037035,0.0,0.3388203017832647
yield_ref,4.0,729,683,none_available,292,0.40054869684499317,0.3333333333333333,0.3786008230452675,0.08641975308641975,0.0013717421124828531,0.40054869684499317
yield_ref,5.0,729,670,virgin_material_tax_only,234,0.32098765432098764,0.5432098765432098,0.3731138545953361,0.07681755829903979,0.013717421124828532,0.2661179698216735
