parameter,level,total_groups,candidate_groups,candidate_share_of_level,dominant_strategy,dominant_count,dominant_share_of_candidates,refurbishment_count,refurbishment_share_of_candidates,recycling_count,recycling_share_of_candidates,dominant_mean_virgin_saving_per_support_dollar,dominant_mean_service_loss_per_support_dollar,dominant_mean_pct_toaster_service
sigma_routes,1.25,729,347,0.47599451303155005,refurbishment_support,247,0.7118155619596542,247,0.7118155619596542,100,0.2881844380403458,0.0867522019586109,0.3988429922963591,-0.02827959859095179
sigma_routes,2.0,729,303,0.4156378600823045,refurbishment_support,285,0.9405940594059405,285,0.9405940594059405,18,0.0594059405940594,0.1048756396876755,0.29430109850871844,-0.013628434657564309
sigma_routes,3.0,729,309,0.42386831275720166,refurbishment_support,309,1.0,309,1.0,0,0.0,0.11565953338167205,0.3693564625614791,-0.0177011986473043
sigma_metal,1.25,729,325,0.4458161865569273,refurbishment_support,283,0.8707692307692307,283,0.8707692307692307,42,0.12923076923076923,0.10662332457842966,0.3411168337388404,-0.015788942308848253
sigma_metal,2.0,729,321,0.4403292181069959,refurbishment_support,283,0.881619937694704,283,0.881619937694704,38,0.11838006230529595,0.10215998845709395,0.36478488944123366,-0.021966985560050188
sigma_metal,3.0,729,313,0.42935528120713307,refurbishment_support,275,0.8785942492012779,275,0.8785942492012779,38,0.12140575079872204,0.10171079789326512,0.351821787068078,-0.020559663725417048
sigma_eol,0.5,729,695,0.953360768175583,refurbishment_support,695,1.0,695,1.0,0,0.0,0.10188045573715866,0.3649408072304892,-0.02107964626264805
sigma_eol,2.0,729,171,0.2345679012345679,refurbishment_support,145,0.847953216374269,145,0.847953216374269,26,0.15204678362573099,0.10425921802854896,0.21772202364086135,-0.007146062567730545
sigma_eol,4.0,729,93,0.12757201646090535,recycling_support,92,0.989247311827957,1,0.010752688172043012,92,0.989247311827957,0.08409379624044529,6.349786935214954,-0.1042700573507469
eta_service,0.5,729,350,0.48010973936899864,refurbishment_support,350,1.0,350,1.0,0,0.0,0.12241221995151934,0.315275893161447,-0.014370813299653055
eta_service,1.0,729,273,0.37448559670781895,refurbishment_support,273,1.0,273,1.0,0,0.0,0.09186260829143189,0.2671277938059351,-0.013865681828866083
eta_service,1.5,729,336,0.4609053497942387,refurbishment_support,218,0.6488095238095238,218,0.6488095238095238,118,0.35119047619047616,0.08776778882159825,0.5194895815970448,-0.034512473932242826
metal_quality,0.75,729,321,0.4403292181069959,refurbishment_support,283,0.881619937694704,283,0.881619937694704,38,0.11838006230529595,0.10845278884071596,0.40240832784381647,-0.02233533333509717
metal_quality,0.85,729,319,0.4375857338820302,refurbishment_support,279,0.8746081504702194,279,0.8746081504702194,40,0.12539184952978055,0.10092434464620048,0.33025963336350284,-0.018170648646876095
metal_quality,0.95,729,319,0.4375857338820302,refurbishment_support,279,0.8746081504702194,279,0.8746081504702194,40,0.12539184952978055,0.10109718857164347,0.32436266887263493,-0.017735931200992903
metal_intensity_ref,0.15,729,303,0.4156378600823045,refurbishment_support,259,0.8547854785478548,259,0.8547854785478548,44,0.14521452145214522,0.10612813958469107,0.440586120187928,-0.023169724815795663
metal_intensity_ref,0.25,729,310,0.4252400548696845,refurbishment_support,257,0.8290322580645161,257,0.8290322580645161,53,0.17096774193548386,0.10606101801839635,0.44364717901002154,-0.023381720949014678
metal_intensity_ref,0.35,729,346,0.47462277091906724,refurbishment_support,325,0.9393063583815029,325,0.9393063583815029,21,0.06069364161849711,0.0994193145431946,0.21043707375210335,-0.013319304923692607
yield_ref,3.0,729,320,0.438957475994513,refurbishment_support,293,0.915625,293,0.915625,27,0.084375,0.12745676086497282,0.19844311899567366,-0.009857312821456413
yield_ref,4.0,729,338,0.46364883401920437,refurbishment_support,276,0.8165680473372781,276,0.8165680473372781,62,0.1834319526627219,0.09092515808801331,0.43433901194519303,-0.02451907864076458
yield_ref,5.0,729,301,0.41289437585733885,refurbishment_support,272,0.9036544850498339,272,0.9036544850498339,29,0.09634551495016612,0.09049989869107494,0.4356609483127824,-0.024571238050919833
