group_by,group,dimension,country,component,count,mean_delta,mean_pct,expansion_share,contraction_share
transmission,no_upstream_change,country_activity_output,M,bread_m,474,3.7475882687768996e-17,1.4990353075107601e-18,0.0,0.0
transmission,no_upstream_change,country_activity_output,M,virgin_material_m,474,4.0252854739048055e-9,1.0063213680936305e-10,0.0,0.0
transmission,no_upstream_change,country_activity_output,C,bread_c,474,-3.264238692380307,-0.019055928866041384,0.04430379746835443,0.9556962025316456
transmission,no_upstream_change,country_activity_output,C,recycled_material_c,474,-0.14467460342388888,-0.009881662937467905,0.18143459915611815,0.6286919831223629
transmission,no_upstream_change,country_activity_output,C,new_production_c,474,0.5948881201073698,0.005728096363393433,0.930379746835443,0.06329113924050633
transmission,no_upstream_change,country_activity_output,C,refurbishment_c,474,-0.5760258378114829,-0.017731983522358944,0.1751054852320675,0.6223628691983122
transmission,no_upstream_change,country_activity_output,C,repair_c,474,-1.568940663469374,-0.05229803210323723,0.1962025316455696,0.7531645569620253
transmission,no_upstream_change,country_activity_output,C,reuse_c,474,-1.568941496514523,-0.05229805105763649,0.0,0.7531645569620253
transmission,reference,country_activity_output,M,bread_m,6540,0.0,0.0,0.0,0.0
transmission,reference,country_activity_output,M,virgin_material_m,6540,5.703008300061068e-12,1.4257520720962992e-13,0.0,0.0
transmission,reference,country_activity_output,C,bread_c,6540,-0.0003817456597254161,-2.2576030151879962e-6,0.0,0.0009174311926605505
transmission,reference,country_activity_output,C,recycled_material_c,6540,-1.715006363222887e-11,-1.1827630336314575e-12,0.0,0.0009174311926605505
transmission,reference,country_activity_output,C,new_production_c,6540,-2.0091189059020083e-11,-1.913446599812445e-13,0.0,0.0009174311926605505
transmission,reference,country_activity_output,C,refurbishment_c,6540,8.035247492861086e-12,2.6784158941041957e-13,0.0,0.0
transmission,reference,country_activity_output,C,repair_c,6540,9.461251354235699e-12,3.153750539150956e-13,0.0009174311926605505,0.0
transmission,reference,country_activity_output,C,reuse_c,6540,5.356481822823423e-12,1.785493968811399e-13,0.0,0.0
transmission,upstream_contraction_with_circular_expansion,country_activity_output,M,bread_m,2479,1.4331237106899963e-18,5.732494842760044e-20,0.0,0.0
transmission,upstream_contraction_with_circular_expansion,country_activity_output,M,virgin_material_m,2479,-0.3100696722131073,-0.007786092426024773,0.0,1.0
transmission,upstream_contraction_with_circular_expansion,country_activity_output,C,bread_c,2479,-3.1034349612701084,-0.017845151594512703,0.14360629286002422,0.8563937071399758
transmission,upstream_contraction_with_circular_expansion,country_activity_output,C,recycled_material_c,2479,-0.16554690393928292,-0.011409081592069917,0.5219846712384025,0.4707543364259782
transmission,upstream_contraction_with_circular_expansion,country_activity_output,C,new_production_c,2479,-4.409649516574367,-0.04261801852212355,0.0,1.0
transmission,upstream_contraction_with_circular_expansion,country_activity_output,C,refurbishment_c,2479,5.247258310879248,0.15947090717710777,0.8293666801129488,0.17063331988705124
