group_by,group,dimension,country,component,count,mean_delta,mean_pct,expansion_share,contraction_share
strategy,recycling_support,country_factor_use,M,factor_total_m,8695,-0.09343830368233472,-0.0014408822851864926,0.23392754456584244,0.46762507188039104
strategy,recycling_support,country_factor_use,M,labor_m,8695,-0.04574585974646652,-0.0018353188915654585,0.2190914318573893,0.4665899942495687
strategy,recycling_support,country_factor_use,M,capital_m,8695,-0.04769244393586837,-0.0011946205013949143,0.2190914318573893,0.4665899942495687
strategy,recycling_support,country_factor_use,M,virgin_material_factor_m,8695,-0.1427605717100743,-0.0035899251906647647,0.23749281196089705,0.4679700977573318
strategy,recycling_support,country_factor_use,C,factor_total_c,8695,-1.4829716127521158,-0.005214197068392535,0.003105232892466935,0.7464059804485337
strategy,recycling_support,country_factor_use,C,labor_c,8695,-0.7919267437236995,-0.004533213687471454,0.003105232892466935,0.7464059804485337
strategy,recycling_support,country_factor_use,C,capital_c,8695,-0.6910448690284158,-0.006298456081345046,0.003105232892466935,0.7464059804485337
strategy,recycling_support,country_factor_use,C,recycling_factor_c,8695,1.4847991400943898,0.2777530601928611,0.7495112133410006,0.0
strategy,recycling_support,country_factor_use,C,refurbishment_factor_c,8695,-0.5898191791285436,-0.03408612028720063,0.30638297872340425,0.4431282346175963
strategy,recycling_support,country_factor_use,C,repair_factor_c,8695,-0.8538272067958209,-0.05693970184721485,0.08602645198389879,0.6634847613571018
strategy,recycling_support,country_factor_use,C,reuse_factor_c,8695,0.030696836219485525,0.0009698327901935352,0.2673950546290972,0.4821161587119034
strategy,refurbishment_support,country_factor_use,M,factor_total_m,8695,-0.06548284652261158,-0.0010062318139049211,0.41035077630822314,0.333870040253019
strategy,refurbishment_support,country_factor_use,M,labor_m,8695,-0.03210807284376219,-0.0012823096312914537,0.4047153536515239,0.32777458309373203
strategy,refurbishment_support,country_factor_use,M,capital_m,8695,-0.03337477367884943,-0.0008335752301007398,0.40448533640023004,0.3280046003450259
strategy,refurbishment_support,country_factor_use,M,virgin_material_factor_m,8695,-0.09942559080761845,-0.0024783865150795692,0.41161587119033927,0.3337550316273721
strategy,refurbishment_support,country_factor_use,C,factor_total_c,8695,-2.2043267452430584,-0.007747211256715181,0.01633122484186314,0.7331799884991375
strategy,refurbishment_support,country_factor_use,C,labor_c,8695,-1.152727216638065,-0.006596094258579063,0.01702127659574468,0.7324899367452559
strategy,refurbishment_support,country_factor_use,C,capital_c,8695,-1.0515995286049922,-0.009579791848363713,0.01633122484186314,0.7331799884991375
strategy,refurbishment_support,country_factor_use,C,recycling_factor_c,8695,1.8620425795259414,0.3526299699642077,0.715813686026452,0.03369752731454859
strategy,refurbishment_support,country_factor_use,C,refurbishment_factor_c,8695,4.055371734038678,0.2356277161962324,0.7247843588269121,0.024726854514088556
strategy,refurbishment_support,country_factor_use,C,repair_factor_c,8695,-0.1798993346310863,-0.012463946030173699,0.27797584818861415,0.4715353651523864
strategy,refurbishment_support,country_factor_use,C,reuse_factor_c,8695,0.7519527196866802,0.07202048415953123,0.440598044853364,0.30891316848763656
strategy,virgin_material_tax,country_factor_use,M,factor_total_m,8682,-0.4706270542213034,-0.00725520933783032,0.16482377332411888,0.5680718728403593
strategy,virgin_material_tax,country_factor_use,M,labor_m,8682,-0.21789047979785678,-0.008738141578692947,0.16482377332411888,0.5680718728403593
strategy,virgin_material_tax,country_factor_use,M,capital_m,8682,-0.2527365744234467,-0.006329165052346901,0.16482377332411888,0.5680718728403593
strategy,virgin_material_tax,country_factor_use,M,virgin_material_factor_m,8682,-0.7516186566550411,-0.01888679838314298,0.16689702833448514,0.5680718728403593
strategy,virgin_material_tax,country_factor_use,C,factor_total_c,8682,-0.38940088803436246,-0.0013691558517772806,0.2753973738769869,0.47373876986869384
strategy,virgin_material_tax,country_factor_use,C,labor_c,8682,-0.19862495925197937,-0.0011369763799981992,0.2753973738769869,0.47373876986869384
strategy,virgin_material_tax,country_factor_use,C,capital_c,8682,-0.19077592878238245,-0.0017388537117959916,0.2753973738769869,0.47373876986869384
strategy,virgin_material_tax,country_factor_use,C,recycling_factor_c,8682,0.05146707447338478,0.005102569262668132,0.4930891499654457,0.256046993780235
strategy,virgin_material_tax,country_factor_use,C,refurbishment_factor_c,8682,-0.04296315119212984,-0.0034565325752896827,0.4067035245335176,0.3424326192121631
strategy,virgin_material_tax,country_factor_use,C,repair_factor_c,8682,-1.0699912864055248,-0.07150966841678592,0.2726330338631652,0.47650310988251554
strategy,virgin_material_tax,country_factor_use,C,reuse_factor_c,8682,0.1598511381798073,0.015053338326881698,0.3673116793365584,0.3818244644091223
