group_by,group,dimension,country,component,count,mean_delta,mean_pct,expansion_share,contraction_share
transmission,no_upstream_change,country_factor_use,M,factor_total_m,474,2.0131011944156755e-9,3.097078745272512e-11,0.0,0.0
transmission,no_upstream_change,country_factor_use,M,labor_m,474,1.006358368415179e-9,4.0254334597658644e-11,0.0,0.0
transmission,no_upstream_change,country_factor_use,M,capital_m,474,1.0067401652128255e-9,2.51685039816875e-11,0.0,0.0
transmission,no_upstream_change,country_factor_use,M,virgin_material_factor_m,474,3.0188699247878215e-9,7.547174780097264e-11,0.0,0.0
transmission,no_upstream_change,country_factor_use,C,factor_total_c,474,-0.7179331343611507,-0.0025292523580926775,0.0379746835443038,0.9620253164556962
transmission,no_upstream_change,country_factor_use,C,labor_c,474,-0.3843220847463201,-0.002203464875398138,0.0379746835443038,0.9620253164556962
transmission,no_upstream_change,country_factor_use,C,capital_c,474,-0.3336110496148358,-0.003048491079687055,0.0379746835443038,0.9620253164556962
transmission,no_upstream_change,country_factor_use,C,recycling_factor_c,474,0.7647969307311251,0.13588807989136087,0.9620253164556962,0.0379746835443038
transmission,no_upstream_change,country_factor_use,C,refurbishment_factor_c,474,0.3888445130372317,0.023064127738735972,0.5506329113924051,0.44936708860759494
transmission,no_upstream_change,country_factor_use,C,repair_factor_c,474,-0.04660027059569009,-0.0031139333982026576,0.270042194092827,0.729957805907173
transmission,no_upstream_change,country_factor_use,C,reuse_factor_c,474,0.25025507387579254,0.023317033833644016,0.609704641350211,0.39029535864978904
transmission,reference,country_factor_use,M,factor_total_m,6540,2.8515057797157076e-12,4.3869319447701286e-14,0.0,0.0
transmission,reference,country_factor_use,M,labor_m,6540,1.4257496304875063e-12,5.70299849845979e-14,0.0,0.0
transmission,reference,country_factor_use,M,capital_m,6540,1.4257528898578538e-12,3.564382202102308e-14,0.0,0.0
transmission,reference,country_factor_use,M,virgin_material_factor_m,6540,4.2772521508328665e-12,1.0693130318558789e-13,0.0,0.0
transmission,reference,country_factor_use,C,factor_total_c,6540,-7.536967804689514e-5,-2.661206233117617e-7,0.0,0.0009174311926605505
transmission,reference,country_factor_use,C,labor_c,6540,-3.891631951741034e-5,-2.2354117048010252e-7,0.0,0.0009174311926605505
transmission,reference,country_factor_use,C,capital_c,6540,-3.6453358529510874e-5,-3.340481575023334e-7,0.0,0.0009174311926605505
transmission,reference,country_factor_use,C,recycling_factor_c,6540,7.063714048745307e-5,1.1575267637081918e-5,0.0009174311926605505,0.0
transmission,reference,country_factor_use,C,refurbishment_factor_c,6540,4.96804710054778e-5,3.0993698245347164e-6,0.0009174311926605505,0.0
transmission,reference,country_factor_use,C,repair_factor_c,6540,5.102028274302236e-5,3.179491555514009e-6,0.0009174311926605505,0.0
transmission,reference,country_factor_use,C,reuse_factor_c,6540,5.460619846022019e-5,4.9264467317820445e-6,0.0009174311926605505,0.0
transmission,upstream_contraction_with_circular_expansion,country_factor_use,M,factor_total_m,2479,-0.15290426968742563,-0.002355504131947697,0.0016135538523598225,0.9983864461476402
transmission,upstream_contraction_with_circular_expansion,country_factor_use,M,labor_m,2479,-0.07528719108913125,-0.003016641408721921,0.0028237192416296895,0.9774102460669625
transmission,upstream_contraction_with_circular_expansion,country_factor_use,M,capital_m,2479,-0.07761707859829514,-0.001942548815295432,0.002016942315449778,0.9782170229931424
transmission,upstream_contraction_with_circular_expansion,country_factor_use,M,virgin_material_factor_m,2479,-0.23206760828827894,-0.005820841246359474,0.002016942315449778,0.9979830576845502
transmission,upstream_contraction_with_circular_expansion,country_factor_use,C,factor_total_c,2479,-0.9234792959984323,-0.003249548421934802,0.052843888664784185,0.9471561113352158
transmission,upstream_contraction_with_circular_expansion,country_factor_use,C,labor_c,2479,-0.47042434886194695,-0.002694536212776435,0.05526421944332392,0.9447357805566761
transmission,upstream_contraction_with_circular_expansion,country_factor_use,C,capital_c,2479,-0.4530549471364863,-0.004133624522103496,0.052843888664784185,0.9471561113352158
transmission,upstream_contraction_with_circular_expansion,country_factor_use,C,recycling_factor_c,2479,0.7538018261657122,0.13926350021225273,0.9350544574425171,0.06494554255748286
transmission,upstream_contraction_with_circular_expansion,country_factor_use,C,refurbishment_factor_c,2479,3.185614392634309,0.18973921510568073,1.0,0.0
transmission,upstream_contraction_with_circular_expansion,country_factor_use,C,repair_factor_c,2479,-0.37474488152753505,-0.025171437384943783,0.4606696248487293,0.5393303751512707
transmission,upstream_contraction_with_circular_expansion,country_factor_use,C,reuse_factor_c,2479,0.2961338686130348,0.028085971434957765,0.6942315449778136,0.30576845502218636
transmission,upstream_contraction_with_service_contraction,country_factor_use,M,factor_total_m,9429,-0.5937957268688262,-0.00915393401287531,0.0,0.9996818326439707
transmission,upstream_contraction_with_service_contraction,country_factor_use,M,labor_m,9429,-0.27950789222947425,-0.011209249276030613,0.0,0.9986212747905399
transmission,upstream_contraction_with_service_contraction,country_factor_use,M,capital_m,9429,-0.314287834639352,-0.00787049022437651,0.0,0.9986212747905399
transmission,upstream_contraction_with_service_contraction,country_factor_use,M,virgin_material_factor_m,9429,-0.9359694837768073,-0.023518686337457847,0.0,1.0
transmission,upstream_contraction_with_service_contraction,country_factor_use,C,factor_total_c,9429,-1.1111990858651868,-0.003902640512769948,0.21486902110510128,0.7851309788948987
transmission,upstream_contraction_with_service_contraction,country_factor_use,C,labor_c,9429,-0.5723251539087354,-0.0032730271364576884,0.21486902110510128,0.7851309788948987
transmission,upstream_contraction_with_service_contraction,country_factor_use,C,capital_c,9429,-0.53887393195645,-0.004904694803672552,0.21486902110510128,0.7851309788948987
transmission,upstream_contraction_with_service_contraction,country_factor_use,C,recycling_factor_c,9429,0.6029780437343,0.11597914927349386,0.7847067557535263,0.21529324424647364
